"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"67","Ntloana Tšoana","UGAMS-8978",9530,30,"Oakhurst",-29.317,27.817,"charcoal",1
"68","Bushman Rock  Shelter","GrN-4854",9510,55,"Oakhurst",-24.583,30.633,"",2
"69","Ntloana Tšoana","OxA-26231",9505,55,"Oakhurst",-29.317,27.817,"charcoal",3
"70","Ntloana Tšoana","Pta-5237 ",9420,110,"Oakhurst",-29.317,27.817,"charcoal",1
"71","Ntloana Tšoana","UGAMS-8975",9420,30,"Oakhurst",-29.317,27.817,"charcoal",2
"72","Siphiso","TX-5628",9380,90,"Oakhurst",-26.3,31.967,"snail",3
"73","Siphiso","Y-1996",9370,160,"Oakhurst",-26.3,31.967,"bone",1
"74","Siphiso","TX-5629",9360,190,"Oakhurst",-26.3,31.967,"eggshell",2
"75","Ntloana Tšoana","OxA-26230",9335,30,"Oakhurst",-29.317,27.817,"charcoal",3
"76","Nelson Bay Cave","OxA-32453",9325,45,"Oakhurst",-34.101,23.378,"bone",1
"77","Ha Makotoko","UGAMS-8985",9320,30,"Oakhurst",-29.333,27.8,"charcoal",2
"78","Ha Makotoko","Pta-5204 ",9290,90,"Oakhurst",-29.333,27.8,"charcoal",3
"79","Sehonghong","Pta-6368 ",9280,45,"Oakhurst",-29.75,28.75,"",1
"80","Kangkara Cave","Pta-2307 ",9260,90,"Oakhurst",-33.783,23.083,"bone",2
"81","Rose Cottage Cave","Pta-5599",9250,70,"Oakhurst",-29.25,27.5,"charcoal",3
"82","Heuningsneskrans","LJ-3198",9230,100,"Oakhurst",-24.6,30.65,"eggshell",1
"83","Ha Makotoko","UGAMS-11599",9220,30,"Oakhurst",-29.333,27.8,"charcoal",2
"84","Ha Makotoko","OxA-27313",9215,45,"Oakhurst",-29.333,27.8,"charcoal",3
"85","Ntloana Tšoana","UGAMS-8976",9150,30,"Oakhurst",-29.317,27.817,"charcoal",1
"86","Ha Makotoko","OxA-27312",9115,40,"Oakhurst",-29.333,27.8,"charcoal",2
"87","Boomplaas","UW-410 ",9100,135,"Oakhurst",-33.383,22.183,"",3
"88","Kruger Cave","KRU-7",9090,90,"Oakhurst",-25.75,27.25,"",1
"89","Nelson Bay Cave","Pta-391 ",8990,80,"Oakhurst",-34.101,23.378,"charcoal",2
"90","Buffelskloof","Pta-1484",8960,80,"Oakhurst",-33.667,21.867,"",3
"91","Ha Makotoko","Pta-5192 ",8950,80,"Oakhurst",-29.333,27.8,"charcoal",1
"92","Oakhurst","Pta-410",8950,90,"Oakhurst",-33.933,22.617,"bone",2
"93","Ntloana Tšoana","OxA-32160",8945,45,"Oakhurst",-29.317,27.817,"charcoal",3
"94","Ntloana Tšoana","OxA-X-2460-48",8905,70,"Oakhurst",-29.317,27.817,"charcoal",1
"95","Heuningsneskrans","LJ-3199",8880,100,"Oakhurst",-24.6,30.65,"eggshell",2
"96","Elands Bay Cave","Pta-5305",8860,90,"Oakhurst",-32.317,18.318,"",3
"97","Siphiso","TX-5630",8860,180,"Oakhurst",-26.3,31.967,"eggshell",1
"98","Ntloana Tšoana","OxA-32161",8820,40,"Oakhurst",-29.317,27.817,"charcoal",2
"99","Ntloana Tšoana","OxA-32158",8802,39,"Oakhurst",-29.317,27.817,"charcoal",3
"100","Ntloana Tšoana","UGAMS-8977",8790,30,"Oakhurst",-29.317,27.817,"charcoal",1
"101","Ntloana Tšoana","Pta-5238 ",8780,30,"Oakhurst",-29.317,27.817,"charcoal",2
"102","Ha Makotoko","UGAMS-11597",8710,30,"Oakhurst",-29.333,27.8,"charcoal",3
"103","Siphiso","Pta-3540",8700,120,"Oakhurst",-26.3,31.967,"bone",1
"104","Ntloana Tšoana","UGAMS-8974",8690,30,"Oakhurst",-29.317,27.817,"charcoal",2
"105","Tloutle","Pta-5172",8680,70,"Oakhurst",-29.467,27.767,"charcoal",3
"106","Rose Cottage Cave","Pta-5560 ",8614,38,"Oakhurst",-29.25,27.5,"charcoal",1
"107","Ha Makotoko","OxA-27311",8595,45,"Oakhurst",-29.333,27.8,"charcoal",2
"108","Nelson Bay Cave","UW-184 ",8570,170,"Oakhurst",-34.101,23.378,"marine shell",3
"109","Nelson Bay Cave","OxA-32451",8550,37,"Oakhurst",-34.101,23.378,"bone",1
"110","Blydefontein","SMU-1823",8541,417,"Oakhurst",-31.133,25.05,"charcoal",2
"111","Jubilee Shelter","Wits-1436",8500,240,"Oakhurst",-25.683,27.983,"charcoal",3
"112","Nelson Bay Cave","OxA-32452",8447,39,"Oakhurst",-34.101,23.378,"bone",1
"113","Rose Cottage Cave","Pta-5600 ",8380,70,"Oakhurst",-29.25,27.5,"charcoal",2
"114","Ha Makotoko","Pta-5191 ",8370,80,"Oakhurst",-29.333,27.8,"charcoal",3
"115","Rose Cottage Cave","Pta-7287",8350,70,"Oakhurst",-29.25,27.5,"charcoal",1
"116","Wilton Large Rock Shelter","GaK-1541",8260,720,"Oakhurst",-33.325,26.142,"charcoal",2
"117","Rose Cottage Cave","Pta-7122 ",8160,70,"Oakhurst",-29.25,27.5,"charcoal",3
"118","Nelson Bay Cave","UW-181 ",8070,240,"Oakhurst",-34.101,23.378,"other",1
"119","Bonawe","Pta-1709",8040,100,"Oakhurst",-31.317,27.817,"charcoal",2
"120","Matjies River","Pta-6688 ",7920,100,"Oakhurst",-34.017,23.417,"charcoal",3
"121","Matjies River","Pta-6687 ",7900,340,"Oakhurst",-34.017,23.417,"charcoal",1
