"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"74","Waterfall Bluff","IT-C-2532",9644,46,"",-31.434,29.824,"charcoal"
"75","Lion Cavern","Y-1713",9640,80,"",-26.2,31.033,"charcoal"
"76","Waterfall Bluff","BETA-442147",9640,30,"",-31.434,29.824,"charcoal"
"77","Waterfall Bluff","BETA-469052",9640,30,"",-31.434,29.824,"charcoal"
"78","Waterfall Bluff","IT-C-2556",9639,44,"",-31.434,29.824,"charcoal"
"79","Uitkomst Cave","Y-1323",9630,200,"",-25.884,27.618,"charcoal"
"80","Waterfall Bluff","IT-C-2321",9607,57,"",-31.434,29.824,"charcoal"
"81","Waterfall Bluff","IT-C-2385",9602,50,"",-31.434,29.824,"charcoal"
"82","Waterfall Bluff","IT-C-2533",9599,44,"",-31.434,29.824,"charcoal"
"83","Waterfall Bluff","IT-C-2560",9599,44,"",-31.434,29.824,"charcoal"
"84","Waterfall Bluff","IT-C-2322",9596,49,"",-31.434,29.824,"charcoal"
"85","Waterfall Bluff","IT-C-2348",9596,53,"",-31.434,29.824,"charcoal"
"86","Waterfall Bluff","IT-C-2388",9594,51,"",-31.434,29.824,"charcoal"
"87","Kruger Cave","KRU-8",9590,130,"Oakhurst",-25.75,27.25,""
"88","Waterfall Bluff","IT-C-2557",9580,45,"",-31.434,29.824,"charcoal"
"89","Waterfall Bluff","IT-C-2377",9577,46,"",-31.434,29.824,"charcoal"
"90","Bushman Rock  Shelter","GrN-5874",9570,55,"Oakhurst",-24.583,30.633,""
"91","Ntloana Tšoana","UGAMS-8980",9570,30,"Oakhurst",-29.317,27.817,"charcoal"
"92","Siphiso","Pta-004",9570,450,"Oakhurst",-26.3,31.967,"bone"
"93","Waterfall Bluff","IT-C-2387",9568,47,"",-31.434,29.824,"charcoal"
"94","Waterfall Bluff","IT-C-2330",9567,52,"",-31.434,29.824,"charcoal"
"95","Waterfall Bluff","IT-C-2555",9562,48,"",-31.434,29.824,"charcoal"
"96","Waterfall Bluff","IT-C-2389",9561,46,"",-31.434,29.824,"charcoal"
"97","Ntloana Tšoana","OxA-32159",9560,45,"Oakhurst",-29.317,27.817,"charcoal"
"98","Rose Cottage Cave","Pta-7275",9560,70,"Robberg",-29.25,27.5,"charcoal"
"99","Waterfall Bluff","IT-C-2535",9560,43,"",-31.434,29.824,"charcoal"
"100","Waterfall Bluff","IT-C-2358",9560,54,"",-31.434,29.824,"charcoal"
"101","Waterfall Bluff","BETA-469053",9550,30,"",-31.434,29.824,"charcoal"
"102","Waterfall Bluff","IT-C-2590",9548,48,"",-31.434,29.824,"charcoal"
"103","Waterfall Bluff","IT-C-2561",9544,50,"",-31.434,29.824,"charcoal"
"104","Waterfall Bluff","IT-C-2383",9543,47,"",-31.434,29.824,"charcoal"
"105","Waterfall Bluff","IT-C-2384",9543,47,"",-31.434,29.824,"charcoal"
"106","Waterfall Bluff","IT-C-2374",9541,49,"",-31.434,29.824,"charcoal"
"107","Waterfall Bluff","IT-C-2386",9541,55,"",-31.434,29.824,"charcoal"
"108","Waterfall Bluff","BETA-461585",9540,30,"",-31.434,29.824,"charcoal"
"109","Waterfall Bluff","IT-C-2347",9534,46,"",-31.434,29.824,"charcoal"
"110","Ntloana Tšoana","UGAMS-8978",9530,30,"Oakhurst",-29.317,27.817,"charcoal"
"111","Waterfall Bluff","IT-C-2360",9529,69,"",-31.434,29.824,"charcoal"
"112","Waterfall Bluff","IT-C-2559",9522,45,"",-31.434,29.824,"charcoal"
"113","Waterfall Bluff","BETA-442146",9520,30,"",-31.434,29.824,"charcoal"
"114","Waterfall Bluff","IT-C-2351",9515,51,"",-31.434,29.824,"charcoal"
"115","Bushman Rock  Shelter","GrN-4854",9510,55,"Oakhurst",-24.583,30.633,""
"116","Ntloana Tšoana","OxA-26231",9505,55,"Oakhurst",-29.317,27.817,"charcoal"
"117","Waterfall Bluff","IT-C-2537",9499,45,"",-31.434,29.824,"charcoal"
"118","Waterfall Bluff","IT-C-2540",9497,49,"",-31.434,29.824,"charcoal"
"119","Waterfall Bluff","IT-C-2542",9470,43,"",-31.434,29.824,"charcoal"
"120","Waterfall Bluff","IT-C-2531",9458,43,"",-31.434,29.824,"charcoal"
"121","Apollo 11 Cave","KN-I-610",9430,90,"Wilton",-27.75,17.1,""
"122","Ntloana Tšoana","Pta-5237 ",9420,110,"Oakhurst",-29.317,27.817,"charcoal"
"123","Ntloana Tšoana","UGAMS-8975",9420,30,"Oakhurst",-29.317,27.817,"charcoal"
"124","Blydefontein","OxA-7876",9400,100,"",-31.13,25.05,"sediments"
"125","Pomongwe Cave","SR-12",9400,100,"",-20.533,28.5,"charcoal"
"126","Strathalan A","Pta-4634",9400,900,"",-30.983,28.383,"charcoal"
"127","Siphiso","TX-5628",9380,90,"Oakhurst",-26.3,31.967,"snail"
"128","Siphiso","Y-1996",9370,160,"Oakhurst",-26.3,31.967,"bone"
"129","Siphiso","TX-5629",9360,190,"Oakhurst",-26.3,31.967,"eggshell"
"130","Rose Cottage Cave","Pta-7228",9340,80,"Robberg",-29.25,27.5,"charcoal"
"131","Ntloana Tšoana","OxA-26230",9335,30,"Oakhurst",-29.317,27.817,"charcoal"
"132","Ha Makotoko","UGAMS-8985",9320,30,"Oakhurst",-29.333,27.8,"charcoal"
"133","Nyonyane","TX-5635",9310,90,"",-27.3,31.9,"charcoal"
"134","Ha Makotoko","Pta-5204 ",9290,90,"Oakhurst",-29.333,27.8,"charcoal"
