"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"309","iNkolimahashi Shelter","Pta-7234",3130,100,"Final LSA",-28.794,30.181,"charcoal",3
"310","Grootrif G","Pta-8742",3125,20,"",-32.167,18.312,"marine shell",1
"311","Jagt Pan 1","Pta-4516",3120,140,"Wilton",-30.4,21.4,"",2
"312","Melikane","OxA-22838",3112,25,"",-29.95,28.75,"charcoal",3
"313","Blombosfontein 7","Pta-6179",3110,50,"Final LSA",-34.4,21.217,"marine shell",1
"314","Die Toon","Pta-5963",3110,60,"",-28.311,17.283,"",2
"315","Dikbosch 1","Pta-1065",3110,60,"Final LSA",-28.652,23.903,"charcoal",3
"316","Likoaeng","GrA-23535",3110,50,"Final LSA",-29.736,28.763,"charcoal",1
"317","Jubilee Shelter","Wits-1214 ",3100,150,"Wilton",-25.683,27.983,"charcoal",2
"318","Blydefontein","SR-142",3090,100,"Wilton",-31.133,25.05,"charcoal",3
"319","Soutkloof 1","Pta-5986",3080,60,"",-32.446,18.336,"marine shell",1
"320","Pancho's Kitchen Midden","Pta-5923",3060,60,"Wilton",-32.339,18.333,"",2
"321","Witklip","Pta-4607",3060,60,"",-32.917,17.983,"charcoal",3
"322","Wonderwerk","Pta-2139",3060,40,"",-27.846,23.555,"eggshell",1
"323","Melikane","OxA-22966",3047,27,"",-29.95,28.75,"charcoal",2
"324","Ravenscraig","Pta-3450",3040,50,"",-31,27.783,"bone",3
"325","Diamond Shelter","Pta-2974",3020,60,"",-28.492,28.948,"charcoal",1
"326","Grootrif B","Pta-4067",3020,50,"",-32.164,18.314,"marine shell",2
"327","Nelson Bay Cave","Pta-2920",3020,35,"Final LSA",-34.101,23.378,"charcoal",3
"328","Twyfelpoort","Pta-7254",3020,60,"",-28.633,27.567,"charcoal",1
"329","Koingnaas 2005/050","OxA-22972",2993,27,"",-30.235,17.25,"bone",2
"330","Gordon's Bay","GrN-4373",2980,60,"",-34.156,18.865,"charcoal",3
"331","Nelson Bay Cave","Pta-2913",2970,60,"Final LSA",-34.101,23.378,"charcoal",1
"332","Spring Cave","Pta-4033",2970,60,"Wilton",-32.322,18.336,"charcoal",2
"333","Melkbosstrand","Pta-8807",2970,60,"",-33.7308,18.4426,"bone",3
"334","Bonawe","Pta-3499",2960,60,"",-31.317,27.817,"charcoal",1
"335","Tshisiku Shelter","Pta-8654",2960,60,"",-22.233,29.148,"",2
"336","Melkbosstrand","Pta-8445",2960,60,"",-33.7087,18.4559,"bone",3
"337","Elands Bay Cave","GaK-4339",2950,115,"Wilton",-32.317,18.318,"plant remains",1
"338","Nelson Bay Cave","Pta-1485",2950,80,"Final LSA",-34.101,23.378,"charcoal",2
"339","Numas Schlucht Cave (Lower Numas Cave)","Pta-179",2950,65,"Wilton",-21.117,14.417,"charcoal",3
"340","Ballito Bay","Pta-5803",2940,50,"",-29.52,31.229,"bone",1
"341","Fackeltrager Shelter, Omandumba","KN-I-460",2940,45,"Ceramic LSA",-21.567,15.35,"charcoal",2
"342","Kareedoringvlei 2001/011","Pta-9306",2940,45,"",-29.501,17.055,"marine shell",3
"343","Pancho's Kitchen Midden","Pta-5990",2940,20,"Wilton",-32.339,18.333,"",1
"344","Brandsebaai 3","Pta-6051",2930,50,"",-31.35,17.917,"marine shell",2
"345","Mzinyashana Shelter","Pta-6539",2930,20,"Final LSA",-28.317,30.467,"",3
"346","Wonderwerk","Pta-2729",2930,60,"",-27.846,23.555,"geological carbonate",1
"347","Nelson Bay Cave","GrN-5702",2925,35,"Final LSA",-34.101,23.378,"charcoal",2
"348","Elands Bay Open","Pta-6265",2920,60,"Wilton",-32.317,18.316,"",3
"349","Eagle Cave","Pta-5920",2910,60,"",-32.326,18.322,"charcoal",1
"350","Fackeltrager Shelter, Omandumba","KN-I-461",2910,45,"",-21.567,15.35,"charcoal",2
"351","Wonderwerk","Pta-2543",2910,60,"",-27.846,23.555,"charcoal",3
"352","Main Caves North","OZD-447",2900,80,"",-29.313,29.567,"other",1
"353","Goedgeloof C1/M1","Pta-4066",2890,40,"Final LSA",-34.133,24.8,"",2
"354","Numas Schlucht Cave (Lower Numas Cave)","Pta-178",2890,65,"Wilton",-21.117,14.417,"charcoal",3
"355","Ysterfontein","Pta-929",2880,50,"",-33.35,18.154,"bone",1
"356","Likoaeng","GrA-26178",2875,35,"Final LSA",-29.736,28.763,"bone",2
"357","Langklip 2001/013","Pta-9312",2870,60,"",-30.378,17.308,"marine shell",3
"358","Melkhoutboom","Pta-706",2870,90,"Final LSA",-33.317,25.283,"",1
"359","Castle Quarry","GrN-5023",2860,35,"",-26.162,31.059,"charcoal",2
"360","Likoaeng","GrA-23239",2860,45,"Final LSA",-29.736,28.763,"charcoal",3
"361","Mitchell's Bay 2005/016","GX-32534",2860,60,"",-30.388,17.314,"",1
"362","Zoovoorbij","Pta-2871",2860,45,"Wilton",-28.65,20.967,"charcoal",2
"363","Zoovoorbij","Pta-2888",2860,45,"Wilton",-28.65,20.967,"charcoal",3
"364","De Hoop","Pta-6787",2850,60,"Final LSA",-29.236,27.438,"charcoal",1
"365","Fackeltrager Shelter, Omandumba","KN-I-730",2840,55,"",-21.567,15.35,"charcoal",2
"366","Mzinyashana Shelter","Pta-6708",2840,60,"Final LSA",-28.317,30.467,"",3
"367","Umhlatuzana","Pta-4215",2840,60,"",-29.8,30.75,"charcoal",1
"368","Bonawe","Pta-3497",2830,60,"",-31.317,27.817,"charcoal",2
"369","Grootrif D","Pta-6221",2830,60,"",-32.164,18.314,"charcoal",3
"370","Messum Shelter","KN-I-638",2830,55,"",-21.367,14.283,"charcoal",1
"371","Mike Taylor's Midden","Pta-3720",2820,50,"",-32.338,18.317,"charcoal",2
"372","Diamond Shelter","Pta-2977",2810,60,"",-28.492,28.948,"charcoal",3
"373","Likoaeng","GrA-23233",2810,45,"Final LSA",-29.736,28.763,"bone",1
"374","Zoovoorbij","Pta-2870",2800,60,"Wilton",-28.65,20.967,"charcoal",2
"375","Mitchell's Bay 2005/001E","OxA-24554",2796,27,"",-30.469,17.361,"bone",3
"376","Blydefontein","OxA-27365",2791,25,"Wilton",-31.133,25.05,"bone",1
"377","Breek Been Kolk 1","Pta-4154",2790,60,"",-30.783,20.15,"eggshell",2
"378","Orange Springs","Wits-2002",2790,70,"Final LSA",-29.1,27.367,"",3
"379","Byneskranskop 3","Pta-2869",2780,50,"",-34.583,19.467,"bone",1
"380","Tsisab Schlucht","Pta-1776",2780,60,"",-21.1,14.683,"charcoal",2
"381","Highmoor 1","OZD-451",2770,75,"",-29.33,29.603,"other",3
"382","Lambert's Bay Dump","Pta-3201",2770,60,"",-32.109,18.304,"marine shell",1
"383","Deurspring 16","Pta-7129",2760,45,"",-32.006,18.305,"marine shell",2
"384","Main Caves North","OZD-448",2760,75,"",-29.313,29.567,"other",3
"385","Mhlwazini Cave","Pta-4876",2760,50,"",-29.048,29.39,"charcoal",1
"386","Sandkop 2005/096B","UGAMS-8871",2740,25,"",-29.689,17.064,"",2
"387","Jagt Pan 7","Pta-4193",2730,60,"Final LSA",-30.495,21.495,"",3
"388","N2005/1, Sesfontein","KIA-29630-2",2730,20,"",-19.083,13.35,"charcoal",1
"389","Blydefontein","D-AMS-1231",2728,32,"Wilton",-31.133,25.05,"bone",2
"390","Groenriviermond","Pta-5617",2720,60,"",-30.833,17.583,"bone",3
"391","Springbokoog 13","Pta-4664",2710,50,"Wilton",-30.217,21.533,"eggshell",1
"392","Gordon's Bay","GrN-4372",2700,40,"",-34.156,18.865,"charcoal",2
"393","Grootrif B","Pta-4068",2700,60,"",-32.164,18.314,"charcoal",3
"394","Liphofung","Pta-6106",2700,60,"",-28.753,28.496,"bone",1
"395","Koingnaas 2005/040","OxA-22971",2695,26,"",-30.235,17.25,"bone",2
"396","Steenbokfontein","Pta-6134",2690,60,"Final LSA",-32.162,18.333,"charcoal",3
"397","Grootrif D","Pta-4060",2680,60,"",-32.164,18.314,"charcoal",1
"398","Port Nolloth 2009/001","UGAMS-6607",2670,30,"",-29.246,16.874,"",2
"399","Verloren Vlei","Gx-14816",2670,80,"",-32.35,18.417,"bone",3
"400","Likoaeng","Pta-7093",2650,60,"Final LSA",-29.736,28.763,"charcoal",1
"401","Riversmead","GX-723",2645,95,"",-30.633,25.5,"",2
"402","Mitchell's Bay 2005/059","OxA-24556",2641,29,"",-30.464,17.361,"bone",3
"403","KwaThwaleyakhe","Pta-5349",2640,60,"",-28.914,30.444,"charcoal",1
"404","Likoaeng North","Pta-9067",2640,70,"",-29.736,28.763,"bone",2
"405","Pancho's Kitchen Midden","Pta-5602",2640,60,"",-32.339,18.333,"",3
"406","Mzinyashana Shelter","Pta-6700",2630,60,"Final LSA",-28.317,30.467,"",1
"407","Springbokoog 5","Pta-4205",2630,50,"Wilton",-30.217,21.533,"eggshell",2
"408","Die Kelders","GaK-3878",2620,100,"Ceramic LSA",-34.533,19.383,"charcoal",3
"409","Mitchell's Bay 2005/005A","GX-32525",2620,70,"",-30.468,17.36,"",1
"410","White Paintings Shelter","Beta-33681",2620,130,"Ceramic LSA",-18.75,21.75,"charcoal",2
"411","Belleview","Pta-309",2610,50,"",-29.999,29.058,"charcoal",3
"412","Public Resort 1","Pta-4030",2610,50,"",-32.317,18.333,"marine shell",1
"413","Great Elephant Shelter","Pta-1556",2600,50,"",-21.833,15.667,"charcoal",2
"414","Tsisab Schlucht","Pta-1550",2590,60,"",-21.1,14.683,"charcoal",3
"415","Reception Shelter","OxA-22983",2578,25,"Final LSA",-31.526,18.601,"charcoal",1
"416","Melkbosstrand","OxA-2056-46",2573,31,"",-33.732,18.441,"bone",2
"417","Kabeljous River Mouth","Pta-3970b",2570,60,"Final LSA",-33.967,24.917,"",3
"418","Mhlwazini Cave","Pta-5045",2570,60,"",-29.048,29.39,"charcoal",1
"419","Public Resort 1","Pta-4022",2570,60,"",-32.317,18.333,"charcoal",2
"420","Mitchell's Bay 2005/005A","GX-32524",2560,60,"",-30.469,17.361,"",3
"421","Reception Shelter","AA-89910",2560,49,"Final LSA",-31.526,18.601,"bone",1
"422","Likoaeng","GrA-23236",2555,45,"Final LSA",-29.736,28.763,"bone",2
"423","Great Elephant Shelter","UCLA-724A",2550,80,"",-21.833,15.667,"",3
"424","Kreefbaai C","Pta-4046",2550,50,"",-32.21,18.328,"charcoal",1
"425","Grootrif D","Pta-4083",2540,50,"",-32.164,18.314,"charcoal",2
"426","Kasteelberg G","Pta-8446",2540,60,"Final LSA",-32.733,17.933,"marine shell",3
"427","Nelson Bay Cave","GrN-5715",2540,50,"Final LSA",-34.101,23.378,"charcoal",1
"428","Steenbras Bay Midden","Pta-1045",2540,50,"",-26.667,15.133,"marine shell",2
"429","Richards Bay","OxA-V-2064-55",2532,26,"",-28.82,32.065,"bone",3
"430","Riversmead","GX-724",2530,105,"",-30.633,25.5,"",1
"431","Koingnaas 2005/135A","OxA-22973",2523,27,"",-30.235,17.248,"bone",2
"432","iNkolimahashi Shelter","Pta-7232",2520,50,"Final LSA",-28.794,30.181,"charcoal",3
"433","Kasteelberg G","Pta-8452",2520,60,"Final LSA",-32.733,17.933,"marine shell",1
"434","Springbokoog 13","Pta-4653",2520,60,"Wilton",-30.217,21.533,"eggshell",2
"435","Faraoskop","Pta-4954",2510,60,"",-32.1253,18.6144,"charcoal",3
"436","Steenbokfontein","Pta-7015",2510,50,"Final LSA",-32.162,18.333,"wood",1
"437","Langklip 2001/004 (Rooiwal Hollow)","Pta-8915",2505,20,"",-30.451,17.348,"marine shell",2
"438","Cape Deseada Midden","Pta-5919",2500,50,"",-32.317,18.314,"marine shell",3
"439","Kasteelberg M","Pta-8431",2490,60,"Ceramic LSA",-32.733,17.933,"marine shell",1
"440","Kreefbaai C","Pta-3589",2490,60,"",-32.21,18.328,"charcoal",2
"441","Steenbokfontein","Pta-6505",2490,50,"Final LSA",-32.162,18.333,"plant remains",3
"442","Melkbosstrand","Pta-4293",2490,50,"",-33.7281,18.44,"bone",1
"443","Melkbosstrand","GX-23871",2490,50,"",-33.732,18.441,"bone",2
"444","Nkupe Shelter","Pta-3443",2480,60,"Final LSA",-28.147,29.937,"charcoal",3
"445","Diaz Street Midden","UGAMS-2803",2470,40,"",-33.009,17.94,"bone",1
"446","Grootrif D","Pta-4085",2470,60,"",-32.164,18.314,"charcoal",2
"447","Kreefbaai C","Pta-3313",2470,60,"",-32.21,18.328,"charcoal",3
"448","Strathalan A","Pta-4678",2470,45,"",-30.983,28.383,"charcoal",1
"449","Kreefbaai C","Pta-4047",2460,60,"",-32.21,18.328,"charcoal",2
"450","Malkoppan","Pta-6219",2460,50,"",-32.134,18.309,"charcoal",3
"451","Mike Taylor's Midden","Pta-3207",2460,50,"",-32.338,18.317,"charcoal",1
"452","Melkbosstrand","GX-23455",2460,50,"",-33.732,18.441,"bone",2
"453","Cape Deseada Midden","Pta-5918",2450,50,"",-32.317,18.314,"marine shell",3
"454","Jagt Pan 7","Pta-4309",2450,60,"Final LSA",-30.495,21.495,"",1
"455","Kabeljous River Shelter","Pta-4614",2450,60,"Final LSA",-33.967,24.917,"",2
"456","Nelson Bay Cave","Pta-2921",2450,60,"Final LSA",-34.101,23.378,"charcoal",3
"457","Railway Midden","Pta-5917",2450,50,"",-32.317,18.317,"marine shell",1
"458","Steenbokfontein","OxA-6219",2445,50,"Final LSA",-32.162,18.333,"bone",2
"459","Steenbras Bay Midden","Pta-1042",2440,50,"",-26.667,15.133,"marine shell",3
"460","Toteng 7","Beta-96238",2440,80,"",-20.38,22.95,"charcoal",1
"461","Brandsebaai 4","Pta-6049",2430,40,"",-31.35,17.917,"marine shell",2
"462","Leopard Cave","Beta-236963",2430,50,"",-21.573,15.555,"charcoal",3
"463","Diaz Street Midden","UGAMS-3062",2420,25,"",-33.009,17.94,"bone",1
"464","Sandkop 2005/084","UGAMS-6608",2420,30,"",-29.686,17.064,"",2
"465","Blombos Cave","Pta-6175",2400,40,"Final LSA",-34.4,21.217,"marine shell",3
"466","Railway Midden","Pta-5916",2400,40,"",-32.317,18.317,"marine shell",1
"467","Spoeg River Cave","Pta-7200",2400,25,"Final LSA",-30.294,17.272,"",2
"468","Verloren Vlei","OxA-455",2400,100,"",-32.35,18.417,"bone",3
