"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated","Samp"
"72","Havens Cave","Pta-3915",5820,80,"Oakhurst",-33.667,24.35,"",3
"73","Wonderwerk","Pta-3427",5800,70,"",-27.846,23.555,"",1
"74","Wonderwerk","OxA-30641",5771,34,"",-27.846,23.555,"charcoal ",2
"75","Nkupe Shelter","Pta-3460 ",5760,70,"Wilton",-28.147,29.937,"charcoal",3
"76","Kabeljous River Shelter","Pta-4061",5750,80,"Wilton",-33.967,24.917,"",1
"77","Cha-re Shelter","Pta-2075",5740,60,"",-23.65,15.917,"charcoal",2
"78","Cymot Shelter","SR-88",5740,110,"",-21.917,14.783,"charcoal",3
"79","Matjies River","Pta-6917 ",5720,70,"Wilton",-34.017,23.417,"marine shell",1
"80","Siphiso","TX-5621",5710,280,"Wilton",-26.3,31.967,"bone",2
"81","Diaz Street Midden","UGAMS-2805",5690,40,"",-33.009,17.94,"marine shell",3
"82","Gehle Shelter","Pta-3585",5690,70,"Wilton",-29.13,29.906,"",1
"83","Byneskranskop 1","OxA-32679",5684,32,"Wilton",-34.583,19.467,"bone",2
"84","Blombosfontein 4","Pta-6176",5680,70,"Wilton",-34.4,21.217,"marine shell",3
"85","Maqonqo Shelter","Pta-6253 ",5680,70,"Wilton",-28.344,30.424,"charcoal",1
"86","Wilde Als Put 2","Pta-4223",5630,170,"Oakhurst",-30.383,23.8,"eggshell",2
"87","Wonderwerk","OxA-30640",5627,33,"",-27.846,23.555,"charcoal ",3
"88","Byneskranskop 1","OxA-32681",5589,34,"Wilton",-34.583,19.467,"bone",1
"89","Mirabib Hill Shelter","Pta-1348",5570,50,"",-23.463,15.325,"charcoal",2
"90","N2005/1, Sesfontein","KIA-29629-2",5550,30,"",-19.083,13.35,"charcoal",3
"91","Tortoise Cave","Pta-5981",5530,30,"Wilton",-32.341,18.399,"marine shell",1
"92","Blombosfontein 5","Pta-6182 ",5520,70,"Wilton",-34.4,21.217,"marine shell",2
"93","Equus Cave","Pta-2791",5460,70,"",-27.617,24.633,"eggshell",3
"94","Buzz Shelter","AA-89912",5452,54,"",-31.524,18.6,"bone",1
"95","Oakhurst","Pta-4367",5450,70,"",-33.933,22.617,"bone",2
"96","Tshisiku Shelter","Pta-8652 ",5440,60,"Wilton",-22.233,29.148,"",3
"97","Byneskranskop 1","OxA-32678",5428,33,"Wilton",-34.583,19.467,"bone",1
"98","Matjies River","L-336F",5400,250,"Wilton",-34.017,23.417,"",2
