"","site","Lab.ID","c14age","c14std","culture","lat","lon","Material.dated"
"74","Oakhurst","Pta-4431",4100,60,"",-33.933,22.617,"bone"
"75","Blombosfontein 6","Pta-6178",4070,60,"Wilton",-34.4,21.217,"marine shell"
"76","Byneskranskop 1","Pta-1571 ",3900,60,"Wilton",-34.583,19.467,""
"77","Buffelskloof","UW-341",3840,80,"Wilton",-33.667,21.867,""
"78","Blombosfontein 6","Pta-6709",3630,70,"Wilton",-34.4,21.217,"marine shell"
"79","Byneskranskop 1","OxA-32677",3599,28,"Wilton",-34.583,19.467,"bone"
"80","Matjies River","GrN-5888",3555,35,"Wilton",-34.017,23.417,"marine shell"
"81","Oakhurst","Pta-520 ",3450,55,"Wilton",-33.933,22.617,"charcoal"
"82","Byneskranskop 1","Pta-1569",3400,55,"Final LSA",-34.583,19.467,""
"83","Nelson Bay Cave","Pta-3097",3270,70,"Final LSA",-34.101,23.378,"charcoal"
"84","Byneskranskop 3","Pta-2969",3190,50,"",-34.583,19.467,"bone"
"85","Nelson Bay Cave","Pta-3095",3190,60,"Final LSA",-34.101,23.378,"charcoal"
"86","Blombosfontein 7","Pta-6183",3170,25,"Final LSA",-34.4,21.217,"marine shell"
"87","Blombosfontein 7","Pta-6179",3110,50,"Final LSA",-34.4,21.217,"marine shell"
"88","Nelson Bay Cave","Pta-2920",3020,35,"Final LSA",-34.101,23.378,"charcoal"
"89","Nelson Bay Cave","Pta-2913",2970,60,"Final LSA",-34.101,23.378,"charcoal"
"90","Nelson Bay Cave","Pta-1485",2950,80,"Final LSA",-34.101,23.378,"charcoal"
"91","Nelson Bay Cave","GrN-5702",2925,35,"Final LSA",-34.101,23.378,"charcoal"
"92","Goedgeloof C1/M1","Pta-4066",2890,40,"Final LSA",-34.133,24.8,""
"93","Melkhoutboom","Pta-706",2870,90,"Final LSA",-33.317,25.283,""
"94","Breek Been Kolk 1","Pta-4154",2790,60,"",-30.783,20.15,"eggshell"
"95","Byneskranskop 3","Pta-2869",2780,50,"",-34.583,19.467,"bone"
"96","Die Kelders","GaK-3878",2620,100,"Ceramic LSA",-34.533,19.383,"charcoal"
"97","Kabeljous River Mouth","Pta-3970b",2570,60,"Final LSA",-33.967,24.917,""
"98","Nelson Bay Cave","GrN-5715",2540,50,"Final LSA",-34.101,23.378,"charcoal"
"99","Kabeljous River Shelter","Pta-4614",2450,60,"Final LSA",-33.967,24.917,""
"100","Nelson Bay Cave","Pta-2921",2450,60,"Final LSA",-34.101,23.378,"charcoal"
"101","Blombos Cave","Pta-6175",2400,40,"Final LSA",-34.4,21.217,"marine shell"
