"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"27","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32678",5428,33,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"28","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32679",5684,32,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"29","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32680",5263,33,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"30","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32681",5589,34,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"31","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32682",6048,33,"LSA","Wilton","","rock shelter",NA,"loftus2016rdb",""
"32","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-1571 ",3900,60,"LSA","Wilton","","rock shelter",NA,"schweitzer1982bql",""
"33","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-1772 ",6370,90,"LSA","Wilton","","rock shelter",NA,"schweitzer1982bql",""
"34","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-1905 ",6540,55,"LSA","Wilton","","rock shelter",NA,"schweitzer1982bql",""
"35","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","Pta-2347 ",7750,90,"LSA","Wilton","","rock shelter",NA,"schweitzer1982bql",""
"36","Byneskranskop 1","BNK1",-34.583,19.467,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","UW-409 ",6100,140,"LSA","Wilton","","rock shelter",NA,"schweitzer1982bql",""
"37","Cave James","CJ",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","RW1","conventional 14C","","","Wits-1744 ",6130,110,"LSA","Wilton","","rock shelter",NA,"wadley1989lls",""
"38","Colwinton","CLW",-31.15,27.767,"South Africa","Kwazulu-Natal","S","Grassland Biome","","conventional 14C","charcoal","","Pta-2550",6270,40,"LSA","Wilton","","rock shelter",NA,"opperman1987lsd",""
"39","Diamond Shelter","DMS",-28.492,28.948,"South Africa","Kwazulu-Natal","S","Grassland Biome","Layer 3","conventional 14C","charcoal","","Pta-3246",4900,60,"LSA","Wilton","","rock shelter",NA,"mazel1984dcs",""
"40","Dune Field Midden","DFM",-32.301,18.348,"South Africa","Western Cape","W","Fynbos Biome","","AMS","eggshell","Struthio camelus","CAMS-113296",6135,40,"LSA","Wilton","","shell midden",NA,"orton2006rhl",""
"41","Dune Field Midden","DFM",-32.301,18.348,"South Africa","Western Cape","W","Fynbos Biome","","AMS","marine shell","Donax serra","CAMS-113297",3325,35,"LSA","Wilton","","shell midden",NA,"orton2006rhl",""
"42","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","JOFR","conventional 14C","plant remains","","GaK-4339",2950,115,"LSA","Wilton","","rock shelter",NA,"parkington1992mss","Estuarine grass bedding"
"43","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","SOYI","conventional 14C","plant remains","","Pta-1816",3780,85,"LSA","Wilton","","rock shelter",NA,"parkington1992mss","Estuarine grass bedding"
"44","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","","conventional 14C","","","Pta-5313",4370,60,"LSA","Wilton","","rock shelter",NA,"orton2006lsl",""
"45","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","BARH","conventional 14C","","","Pta-5317",3940,60,"LSA","Wilton","","rock shelter",NA,"parkington1992mss",""
"46","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","GSFB","conventional 14C","charcoal","","Pta-5594",3590,60,"LSA","Wilton","","rock shelter",NA,"parkington1992mss",""
"47","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","","conventional 14C","","","Pta-5805",4160,60,"LSA","Wilton","","rock shelter",NA,"orton2006lsl",""
"48","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","LEED","conventional 14C","plant remains","","Pta-687",3510,45,"LSA","Wilton","","rock shelter",NA,"parkington1992mss","Charcoal, bedding grass"
"49","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","LBED","conventional 14C","plant remains","","Pta-841",3450,50,"LSA","Wilton","","rock shelter",NA,"parkington1992mss","Charcoal, bedding grass"
"50","Elands Bay Open","EBO",-32.317,18.316,"South Africa","Western Cape","W","Fynbos Biome","SPECKLE","conventional 14C","","","Pta-6265",2920,60,"LSA","Wilton","","shell midden",-22.7,"jerardino1996csl",""
"51","Gehle Shelter","GEH",-29.13,29.906,"South Africa","Kwazulu-Natal","S","Grassland Biome","3","conventional 14C","","","Pta-3245 ",4330,60,"LSA","Wilton","","rock shelter",NA,"mazel1984gsr",""
"52","Gehle Shelter","GEH",-29.13,29.906,"South Africa","Kwazulu-Natal","S","Grassland Biome","2","conventional 14C","","","Pta-3585",5690,70,"LSA","Wilton","","rock shelter",NA,"mazel1984gsr",""
"53","Good Hope Shelter","GHS",-29.656,29.427,"South Africa","Kwazulu-Natal","S","Grassland Biome","layer 3","conventional 14C","charcoal","","Pta-1480 ",7670,55,"LSA","Wilton","","rock shelter",NA,"cable1980esu"," (described as Oakhurst by Wadley 2000)"
"54","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","1","AMS","charcoal","","UCI-209041",6015,15,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"55","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","1","AMS","charcoal","","UCI-209042",6040,15,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"56","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","5","AMS","charcoal","","UCI-209043",6085,15,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"57","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","8","AMS","charcoal","","UCI-209044",6100,15,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"58","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","15","AMS","charcoal","","UCI-209045",6355,25,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"59","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","16","AMS","charcoal","","Beta-532051",6470,30,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"60","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","18","AMS","charcoal","","Beta-532052",6360,30,"LSA","Wilton","","rock shelter",NA,"ames2020csf",""
"61","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","10","AMS","charcoal","","CAMS-170784",6200,35,"LSA","Wilton","","rock shelter",NA,"collins2017rho",""
"62","Havens Cave","HVC",-33.667,24.35,"South Africa","Eastern Cape","Y","Thicket Biome","VOG","conventional 14C","","","Pta-3917 ",6190,80,"LSA","Wilton","","rock shelter",NA,"binneman1995scc",""
"63","Havens Cave","HVC",-33.667,24.35,"South Africa","Eastern Cape","Y","Thicket Biome","SBA","conventional 14C","","","Pta-3919",6610,90,"LSA","Wilton","","rock shelter",NA,"binneman1995scc",""
"64","Hoffman's Robberg Cave","HRC",-34.105951,23.388,"South Africa","Western Cape","S","Fynbos Biome","","conventional 14C","marine shell","Patella","UW-204",3190,110,"LSA","Wilton","","rock shelter",NA,"Fairhall1976uwd",""
"65","Hoffman's Robberg Cave","HRC",-34.105951,23.388,"South Africa","Western Cape","S","Fynbos Biome","","conventional 14C","marine shell","Patella","UW-205",3770,100,"LSA","Wilton","","rock shelter",NA,"Fairhall1976uwd",""
"66","Jagt Pan 1","JAG1",-30.4,21.4,"South Africa","Northern Cape","S","Nama-Karoo Biome","ExcavationSpits 1 and 2","conventional 14C","","","Pta-4516",3120,140,"LSA","Wilton","","open site",NA,"beaumont1989pcn",""
"67","Jakkalsberg N","JKKN",-28.181,16.885,"South Africa","Northern Cape","W","Azonal Vegetation","X256","AMS","eggshell","Struthio camelus","GX-32754",4860,40,"LSA","Wilton","","open site",NA,"orton2010stb","succulent karoo"
"68","Jakkalsberg N","JKKN",-28.181,16.885,"South Africa","Northern Cape","W","Azonal Vegetation","J259","AMS","marine shell","","GX-32755",4960,40,"LSA","Wilton","","open site",NA,"orton2010stb","succulent karoo"
"69","Jakkalsberg N","JKKN",-28.181,16.885,"South Africa","Northern Cape","W","Azonal Vegetation","","conventional 14C","","","Pta-8496 ",4500,50,"LSA","Wilton","","open site",NA,"orton2010stb","succulent karoo"
"70","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","RL2 D1","conventional 14C","charcoal","","Pta-3563 ",3730,60,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
"71","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","RL C1/D1","conventional 14C","charcoal","","Wits-1214 ",3100,150,"LSA","Wilton","","rock shelter",NA,"wadley1987lsh",""
