"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"122","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSC","conventional 14C","sediments","","UW-186 ",6050,80,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"123","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSC","conventional 14C","sediments","","UW-187 ",5825,150,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"124","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","BSC","conventional 14C","charcoal","","UW-216 ",5830,115,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"125","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Ivan","conventional 14C","Marine shell","","UW-217 ",4860,65,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"126","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Rice A","conventional 14C","charcoal","","UW-222",6070,125,"LSA","Wilton","","rock shelter",NA,"deacon1984lss",""
"127","Nkupe Shelter","NKP",-28.147,29.937,"South Africa","Kwazulu-Natal","S","Grassland Biome","5; WA 2B R11","conventional 14C","charcoal","","Pta-3275 ",3950,70,"LSA","Wilton","","rock shelter",NA,"mazel1988nsr",""
"128","Nkupe Shelter","NKP",-28.147,29.937,"South Africa","Kwazulu-Natal","S","Grassland Biome","7; WA 3B, R10","conventional 14C","charcoal","","Pta-3276 ",4590,70,"LSA","Wilton","","rock shelter",NA,"mazel1988nsr",""
"129","Nkupe Shelter","NKP",-28.147,29.937,"South Africa","Kwazulu-Natal","S","Grassland Biome","10; GA 2B, R10","conventional 14C","charcoal","","Pta-3455",6650,80,"LSA","Wilton","","rock shelter",NA,"mazel1988nsr",""
"130","Nkupe Shelter","NKP",-28.147,29.937,"South Africa","Kwazulu-Natal","S","Grassland Biome","9; GA 2B, R10","conventional 14C","charcoal","","Pta-3460 ",5760,70,"LSA","Wilton","","rock shelter",NA,"mazel1988nsr",""
"131","Numas Schlucht Cave (Lower Numas Cave)","NUM",-21.117,14.417,"Namibia","Erongo District","W","Desert Biome","60cm","conventional 14C","charcoal","","Pta-1295",4180,60,"LSA","Wilton","","rock shelter",NA,"vogel1981prd",""
"132","Numas Schlucht Cave (Lower Numas Cave)","NUM",-21.117,14.417,"Namibia","Erongo District","W","Desert Biome","60-70cm","conventional 14C","eggshell","Struthio camelus","Pta-1620",4840,50,"LSA","Wilton","","rock shelter",NA,"vogel1981prd",""
"133","Numas Schlucht Cave (Lower Numas Cave)","NUM",-21.117,14.417,"Namibia","Erongo District","W","Desert Biome","50cm","conventional 14C","charcoal","","Pta-1623",3950,60,"LSA","Wilton","","rock shelter",NA,"vogel1981prd",""
"134","Numas Schlucht Cave (Lower Numas Cave)","NUM",-21.117,14.417,"Namibia","Erongo District","W","Desert Biome","7cm","conventional 14C","charcoal","","Pta-178",2890,65,"LSA","Wilton","","rock shelter",NA,"vogel1971prd",""
"135","Numas Schlucht Cave (Lower Numas Cave)","NUM",-21.117,14.417,"Namibia","Erongo District","W","Desert Biome","15cm","conventional 14C","charcoal","","Pta-179",2950,65,"LSA","Wilton","","rock shelter",NA,"vogel1971prd",""
"136","Oakhurst","OAK",-33.933,22.617,"South Africa","Western Cape","Y","Forests","","conventional 14C","charcoal","","Pta-520 ",3450,55,"LSA","Wilton","","rock shelter",NA,"patrick1989aas",""
"137","Pancho's Kitchen Midden","PKM",-32.339,18.333,"South Africa","Western Cape","W","Fynbos Biome","7SH. PENCO II","conventional 14C","","","Pta-5743",3570,60,"LSA","Wilton","","shell midden",-24.1,"jerardino1996csl",""
"138","Pancho's Kitchen Midden","PKM",-32.339,18.333,"South Africa","Western Cape","W","Fynbos Biome","6 PENCO","conventional 14C","","","Pta-5923",3060,60,"LSA","Wilton","","shell midden",-24.2,"jerardino1996csl",""
"139","Pancho's Kitchen Midden","PKM",-32.339,18.333,"South Africa","Western Cape","W","Fynbos Biome","4SH. GRINGO","conventional 14C","","","Pta-5990",2940,20,"LSA","Wilton","","shell midden",-23.7,"jerardino1996csl",""
"140","Rooikrans","RIK",-27.033,27.367,"South Africa","Free State","S","Grassland Biome","4","conventional 14C","bone","","Wits-2003",6150,100,"LSA","Wilton","","rock shelter",NA,"thorp1996pre",""
"141","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","Pt","conventional 14C","charcoal","","GrN-5299",6850,45,"LSA","Wilton","","rock shelter",NA,"vogel1970grd",""
"142","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","Pt","conventional 14C","charcoal","","Pta-5934 ",5970,70,"LSA","Wilton","","rock shelter",NA,"wadley2000wcc",""
"143","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","Pt","conventional 14C","charcoal","","Pta-6783",7630,80,"LSA","Wilton","","rock shelter",NA,"wadley2000wcc",""
"144","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","GWA","conventional 14C","","","Pta-6154",5950,70,"LSA","Wilton","","rock shelter",NA,"mitchell1996qlh",""
"145","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","","conventional 14C","","","Q-3174 ",6870,60,"LSA","Wilton","","rock shelter",NA,"mitchell1996qlh",""
"146","Shongweni South","SHOS",-29.85,30.717,"South Africa","Kwazulu-Natal","S","Savanna Biome","Spit D, Level 6","conventional 14C","charcoal","","Pta-823",3870,60,"LSA","Wilton","","rock shelter",NA,"vogel1986prd","Stratigraphy disturbed because contains cultigens"
"147","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum IV","conventional 14C","bone","","TX-5621",5710,280,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"148","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum IV","conventional 14C","eggshell","Struthio camelus","TX-5623",6680,160,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"149","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum IV","conventional 14C","snail","","TX-5624",6540,100,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"150","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum IV","conventional 14C","eggshell","Struthio camelus","TX-5625",6670,90,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"151","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum IV","conventional 14C","snail","","TX-5626",6860,110,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"152","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum V","conventional 14C","snail","","TX-5627",7300,100,"LSA","Wilton","","rock shelter",NA,"barham1989rdn",""
"153","Spring Cave","SGC",-32.322,18.336,"South Africa","Western Cape","W","Fynbos Biome","6 BM","conventional 14C","charcoal","","Pta-4027",3510,60,"LSA","Wilton","","rock shelter",-19.3,"jerardino1996csl",""
"154","Spring Cave","SGC",-32.322,18.336,"South Africa","Western Cape","W","Fynbos Biome","5 UDF","conventional 14C","charcoal","","Pta-4033",2970,60,"LSA","Wilton","","rock shelter",-21.5,"jerardino1996csl",""
"155","Springbokoog 1","SBO1",-30.217,21.533,"South Africa","Northern Cape","S","Nama-Karoo Biome","ExcavationSpits 1-4","conventional 14C","eggshell","Struthio camelus","Pta-4091",4630,60,"LSA","Wilton","","",NA,"beaumont1989pcn",""
"156","Springbokoog 13","SBO13",-30.217,21.533,"South Africa","Northern Cape","S","Nama-Karoo Biome","ExcavationSpit 1","conventional 14C","eggshell","Struthio camelus","Pta-4653",2520,60,"LSA","Wilton","","",NA,"beaumont1989pcn",""
"157","Springbokoog 13","SBO13",-30.217,21.533,"South Africa","Northern Cape","S","Nama-Karoo Biome","ExcavationSpit 1","conventional 14C","eggshell","Struthio camelus","Pta-4664",2710,50,"LSA","Wilton","","",NA,"beaumont1989pcn",""
"158","Springbokoog 20","SBO20",-30.217,21.533,"South Africa","Northern Cape","S","Nama-Karoo Biome","Surface collection","conventional 14C","eggshell","Struthio camelus","Pta-4785",4440,60,"LSA","Wilton","","",NA,"beaumont1989pcn",""
"159","Springbokoog 5","SBO5",-30.217,21.533,"South Africa","Northern Cape","S","Nama-Karoo Biome","ExcavatedSurface","conventional 14C","eggshell","Struthio camelus","Pta-4205",2630,50,"LSA","Wilton","","",NA,"beaumont1989pcn",""
"160","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","4b (t)SHAMAN","conventional 14C","charcoal","","Pta-6420",3990,60,"LSA","Wilton","","rock shelter",-20.9,"jerardino1996csl",""
"161","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","4a (t) GRFU","conventional 14C","marine shell","Choromytilus meridionalis","Pta-6794",3510,50,"LSA","Wilton","","rock shelter",-1.9,"jerardino1996csl",""
"162","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","4a (b) LFSO","conventional 14C","marine shell","Choromytilus meridionalis","Pta-6805",3640,60,"LSA","Wilton","","rock shelter",-1,"jerardino1996csl",""
"163","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","5","conventional 14C","charcoal","","Pta-6808",6070,80,"LSA","Wilton","","rock shelter",-21,"jerardino2014dcs",""
"164","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","4a","conventional 14C","marine shell","Choromytilus meridionalis","Pta-7020",3635,30,"LSA","Wilton","","rock shelter",NA,"jerardino2014dcs",""
"165","Steenbokfontein","STB",-32.162,18.333,"South Africa","Western Cape","W","Fynbos Biome","5","conventional 14C","charcoal","","Pta-7323",4620,70,"LSA","Wilton","","rock shelter",NA,"jerardino2014dcs",""
"166","Tloutle","TLT",-29.467,27.767,"Lesotho","Maseru District","S","Grassland Biome","CCL","conventional 14C","charcoal","","Pta-5158 ",6140,100,"LSA","Wilton","","rock shelter",NA,"mitchell1993ats",""
"167","Tloutle","TLT",-29.467,27.767,"Lesotho","Maseru District","S","Grassland Biome","CSL-UP","conventional 14C","charcoal","","Pta-5162 ",6910,80,"LSA","Wilton","","rock shelter",NA,"mitchell1993ats",""
"168","Tloutle","TLT",-29.467,27.767,"Lesotho","Maseru District","S","Grassland Biome","CSL-UP","conventional 14C","charcoal","","Pta-5171",7230,80,"LSA","Wilton","","rock shelter",NA,"mitchell1993ats",""
"169","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","14 HOME","conventional 14C","marine shell","","Pta-3596",7700,70,"LSA","Wilton","","rock shelter",1.2,"jerardino1996csl",""
"170","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","6SM2","conventional 14C","charcoal","","Pta-3604",3520,60,"LSA","Wilton","","rock shelter",-21.1,"jerardino1996csl",""
"171","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","13a DELTA","conventional 14C","charcoal","","Pta-3605",4330,50,"LSA","Wilton","","rock shelter",-23.9,"jerardino1996csl",""
"172","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","8 FU3","conventional 14C","charcoal","","Pta-3608a",4020,60,"LSA","Wilton","","rock shelter",-23.5,"jerardino1996csl",""
"173","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","10 MELANIE","conventional 14C","charcoal","","Pta-3608b",4190,60,"LSA","Wilton","","rock shelter",-23.3,"jerardino1996csl",""
"174","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","13b ECHO","conventional 14C","marine shell","","Pta-5479",6910,80,"LSA","Wilton","","rock shelter",-0.5,"jerardino1996csl",""
"175","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","5a UM2","conventional 14C","marine shell","","Pta-5498",3160,60,"LSA","Wilton","","rock shelter",0.2,"jerardino1996csl",""
"176","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","5c REBEL","conventional 14C","marine shell","","Pta-5662",3410,60,"LSA","Wilton","","rock shelter",0,"jerardino1996csl",""
"177","Tortoise Cave","TTC",-32.341,18.399,"South Africa","Western Cape","W","Fynbos Biome","14 GANDALF","conventional 14C","marine shell","","Pta-5981",5530,30,"LSA","Wilton","","rock shelter",-1.2,"jerardino1996csl","Estuarine Shell"
"178","Tshisiku Shelter","TSK",-22.233,29.148,"South Africa","Limpopo","S","Savanna Biome","","conventional 14C","","","Pta-8652 ",5440,60,"LSA","Wilton","","rock shelter",NA,"vandoornum2007tss",""
"179","Tshisiku Shelter","TSK",-22.233,29.148,"South Africa","Limpopo","S","Savanna Biome","","conventional 14C","","","Pta-8709",6750,60,"LSA","Wilton","","rock shelter",NA,"vandoornum2007tss",""
"180","Uniondale","UND",-33.15,26.383,"South Africa","Eastern Cape","S","Thicket Biome","P","conventional 14C","","","Pta-4322",4520,60,"LSA","Wilton","","rock shelter",NA,"lesliebrooker1987asu; sadr2006tte",""
"181","Uniondale","UND",-33.15,26.383,"South Africa","Eastern Cape","S","Thicket Biome","V","conventional 14C","","","Pta-4334",6300,200,"LSA","Wilton","","rock shelter",NA,"lesliebrooker1987asu; sadr2006tte",""
"182","Wilton Large Rock Shelter","WLR",-33.325,26.142,"South Africa","Eastern Cape","Y","Fynbos Biome","Layer 3F","conventional 14C","charcoal","","I-2565",4860,115,"LSA","Wilton","","rock shelter",NA,"deacon1972waa",""
"183","Zoovoorbij","ZVB",-28.65,20.967,"South Africa","Northern Cape","S","Nama-Karoo Biome","Level 3","conventional 14C","charcoal","","Pta-2870",2800,60,"LSA","Wilton","","rock shelter",-25,"beaumont1995bea","Springbokoog"
"184","Zoovoorbij","ZVB",-28.65,20.967,"South Africa","Northern Cape","S","Nama-Karoo Biome","Level 2","conventional 14C","charcoal","","Pta-2871",2860,45,"LSA","Wilton","","rock shelter",-25.3,"beaumont1995bea","Springbokoog"
"185","Zoovoorbij","ZVB",-28.65,20.967,"South Africa","Northern Cape","S","Nama-Karoo Biome","Level 7","conventional 14C","charcoal","","Pta-2888",2860,45,"LSA","Wilton","","rock shelter",-24.4,"beaumont1995bea","Springbokoog. Smith 1995 reports date as 3080±60 BP"
"186","Zoovoorbij","ZVB",-28.65,20.967,"South Africa","Northern Cape","S","Nama-Karoo Biome","Level 9a","conventional 14C","charcoal","","Pta-2889",4140,75,"LSA","Wilton","","rock shelter",-24.4,"beaumont1995bea","Springbokoog. Smith 1995 reports date as 4140±70 BP"
"187","Zoovoorbij","ZVB",-28.65,20.967,"South Africa","Northern Cape","S","Nama-Karoo Biome","Level 8","conventional 14C","charcoal","","Pta-2893",3440,60,"LSA","Wilton","","rock shelter",-23.8,"beaumont1995bea","Springbokoog"
