"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"121","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6687 ",7900,340,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"122","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6831 ",7685,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"123","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","medium brown series","conventional 14C","","","Pta-666 ",7660,80,"LSA","Oakhurst","","rock shelter",NA,"deacon1976whg",""
"124","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VI","conventional 14C","bone","","Pta-3533",7600,80,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"125","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-6",7500,60,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
"126","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6823 ",7400,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"127","Kangkara Cave","KRA",-33.783,23.083,"South Africa","Western Cape","Y","Fynbos Biome","PBW","conventional 14C","bone","","Pta-2812 ",7330,100,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"128","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6072 ",7210,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"129","Heuningsneskrans","HNK",-24.6,30.65,"South Africa","Limpopo","S","Savanna Biome","Stratum 3b - 45-70cm","conventional 14C","charred bone","","Pta-112",7200,70,"LSA","Oakhurst","","rock shelter",NA,"vogel1971prd",""
"130","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6278 ",7150,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"131","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6280 ",7090,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"132","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6083 ",7010,70,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"133","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-5",6760,100,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
