"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"28","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6951 ",10215,25,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"29","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","L14-106","conventional 14C","charcoal","","Pta-5208 ",10200,100,"LSA","Oakhurst","","rock shelter",NA,"mitchell1993ail",""
"30","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","7","AMS","charcoal","","OxA-27316",10190,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"31","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","CS","conventional 14C","charcoal","","UW-164 ",10180,85,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"32","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6848",10155,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"33","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32454",10155,45,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"34","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","CS","conventional 14C","charcoal","","Pta-392 ",10150,90,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"35","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","7","AMS","charcoal","","OxA-27314",10135,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"36","Grassridge","GRA",-31.567,26.85,"South Africa","Eastern Cape","S","Grassland Biome","22","AMS","charcoal","","CAMS-170783",10125,50,"LSA","Oakhurst","","rock shelter",NA,"collins2017rho",""
"37","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","7","AMS","charcoal","","OxA-27315",10125,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
